rowNumber, PersonId, State, score, scoreName, Channel 
1,2,s2,2,CES,3
2,2,s2,2,NPS,0
3,3,s3,10,CES,2
4,3,s3,10,NPS,0
5,3,s5,8,CES,3
6,3,s5,5,NPS,1
7,5,s5,3,CES,1
8,5,s5,7,NPS,1
9,5,s7,7,CES,1
10,5,s7,6,NPS,2
11,9,s8,2,CES,1
12,9,s8,10,NPS,3
13,11,s2,1,CES,3
14,11,s2,1,NPS,0
15,13,s3,10,CES,0
16,13,s3,10,NPS,0
17,13,s5,9,CES,1
18,13,s5,10,NPS,1
19,13,s7,7,CES,0
20,13,s7,10,NPS,0
21,13,s8,10,CES,0
22,13,s8,10,NPS,1
23,14,s3,10,CES,1
24,14,s3,10,NPS,1
25,20,s7,7,CES,3
26,20,s7,9,NPS,2
27,20,s3,10,CES,2
28,20,s3,10,NPS,3
29,20,s7,7,CES,3
30,20,s7,5,NPS,3
31,20,s8,9,CES,3
32,20,s8,10,NPS,0
33,42,s5,5,CES,2
34,42,s5,10,NPS,0
35,44,s7,10,CES,0
36,44,s7,10,NPS,1
37,46,s3,10,CES,2
38,46,s3,8,NPS,0
39,46,s5,3,CES,1
40,46,s5,7,NPS,2
41,52,s3,10,CES,2
42,52,s3,10,NPS,2
43,55,s3,10,CES,0
44,55,s3,7,NPS,3
45,58,s3,8,CES,3
46,58,s3,9,NPS,3
47,58,s5,2,CES,1
48,58,s5,6,NPS,0
49,61,s8,9,CES,2
50,61,s8,5,NPS,0
51,64,s3,10,CES,0
52,64,s3,10,NPS,0
53,67,s5,4,CES,1
54,67,s5,10,NPS,3
55,68,s3,10,CES,0
56,68,s3,10,NPS,2
57,76,s3,6,CES,1
58,76,s3,10,NPS,3
59,78,s2,4,CES,0
60,78,s2,9,NPS,3
61,82,s3,10,CES,2
62,82,s3,10,NPS,1
63,85,s3,10,CES,0
64,85,s3,10,NPS,2
65,85,s7,9,CES,1
66,85,s7,10,NPS,3
67,92,s2,10,CES,0
68,92,s2,9,NPS,0
69,94,s2,10,CES,3
70,94,s2,8,NPS,1
71,95,s7,10,CES,0
72,95,s7,6,NPS,3
