PersonID,State,Score, NPS 
2,s2,-1,NPS
3,s3,-1,NPS
3,s5,-1,NPS
5,s5,0,NPS
5,s7,-1,NPS
9,s8,-1,NPS
11,s2,-1,NPS
13,s3,-1,NPS
13,s5,-1,NPS
13,s7,-1,NPS
13,s8,-1,NPS
14,s3,-1,NPS
20,s7,1,NPS
20,s3,-1,NPS
20,s7,-1,NPS
20,s8,-1,NPS
42,s5,-1,NPS
44,s7,-1,NPS
46,s3,0,NPS
46,s5,0,NPS
52,s3,-1,NPS
55,s3,0,NPS
58,s3,1,NPS
58,s5,-1,NPS
61,s8,-1,NPS
64,s3,-1,NPS
67,s5,-1,NPS
68,s3,-1,NPS
76,s3,-1,NPS
78,s2,1,NPS
82,s3,-1,NPS
85,s3,-1,NPS
85,s7,-1,NPS
92,s2,1,NPS
94,s2,0,NPS
95,s7,-1,NPS
96,s5,-1,NPS
97,s2,-1,NPS
100,s5,-1,NPS
100,s7,0,NPS
101,s2,-1,NPS
102,s5,-1,NPS
106,s7,-1,NPS
107,s2,-1,NPS
114,s7,0,NPS
115,s2,0,NPS
123,s5,-1,NPS
123,s8,1,NPS
129,s3,-1,NPS
131,s7,-1,NPS
134,s8,1,NPS
135,s3,-1,NPS
135,s5,-1,NPS
135,s7,0,NPS
141,s3,-1,NPS
147,s7,1,NPS
147,s8,-1,NPS
151,s7,0,NPS
151,s7,-1,NPS
151,s8,-1,NPS
154,s2,-1,NPS
155,s8,0,NPS
158,s3,-1,NPS
160,s7,-1,NPS
160,s8,-1,NPS
164,s3,0,NPS
165,s5,-1,NPS
165,s7,-1,NPS
175,s8,-1,NPS
177,s7,0,NPS
189,s2,-1,NPS
194,s5,-1,NPS
194,s8,0,NPS
195,s2,0,NPS
195,s7,-1,NPS
204,s5,-1,NPS
204,s7,0,NPS
204,s7,1,NPS
205,s2,0,NPS
205,s7,-1,NPS
205,s7,-1,NPS
205,s7,1,NPS
209,s7,-1,NPS
212,s7,-1,NPS
215,s2,-1,NPS
218,s5,1,NPS
218,s8,0,NPS
220,s3,-1,NPS
222,s3,-1,NPS
222,s5,-1,NPS
223,s2,-1,NPS
224,s2,-1,NPS
226,s7,0,NPS
226,s7,-1,NPS
228,s5,-1,NPS
229,s2,0,NPS
229,s3,-1,NPS
238,s3,1,NPS
238,s7,-1,NPS
257,s8,0,NPS
270,s3,-1,NPS
270,s5,-1,NPS
270,s7,0,NPS
270,s7,-1,NPS
272,s2,-1,NPS
275,s2,-1,NPS
281,s7,-1,NPS
283,s5,0,NPS
283,s7,-1,NPS
286,s3,-1,NPS
288,s2,-1,NPS
289,s3,-1,NPS
292,s5,-1,NPS
293,s7,-1,NPS
293,s7,0,NPS
293,s8,-1,NPS
302,s2,-1,NPS
306,s5,1,NPS
308,s3,-1,NPS
308,s5,-1,NPS
308,s3,-1,NPS
309,s5,-1,NPS
313,s3,0,NPS
315,s5,-1,NPS
315,s8,-1,NPS
322,s5,-1,NPS
330,s7,-1,NPS
334,s5,0,NPS
345,s2,-1,NPS
350,s7,-1,NPS
350,s8,-1,NPS
352,s3,0,NPS
354,s2,-1,NPS
357,s3,-1,NPS
357,s7,-1,NPS
357,s7,0,NPS
358,s3,-1,NPS
361,s2,-1,NPS
366,s3,-1,NPS
367,s5,-1,NPS
368,s3,1,NPS
369,s7,-1,NPS
371,s3,-1,NPS
371,s7,-1,NPS
373,s7,-1,NPS
373,s8,-1,NPS
374,s5,-1,NPS
374,s8,-1,NPS
375,s5,-1,NPS
376,s5,-1,NPS
376,s7,-1,NPS
381,s3,-1,NPS
383,s3,1,NPS
385,s7,-1,NPS
386,s7,-1,NPS
386,s8,-1,NPS
387,s3,-1,NPS
391,s8,0,NPS
393,s2,-1,NPS
396,s7,-1,NPS
397,s3,-1,NPS
398,s2,-1,NPS
399,s3,-1,NPS
399,s5,1,NPS
399,s8,1,NPS
401,s3,1,NPS
404,s3,0,NPS
408,s5,0,NPS
410,s7,-1,NPS
410,s8,1,NPS
413,s3,-1,NPS
413,s7,0,NPS
415,s3,-1,NPS
418,s2,0,NPS
426,s2,0,NPS
427,s5,-1,NPS
427,s7,-1,NPS
427,s7,0,NPS
428,s7,-1,NPS
428,s5,-1,NPS
429,s7,0,NPS
429,s8,-1,NPS
431,s3,-1,NPS
435,s7,-1,NPS
435,s7,1,NPS
435,s7,-1,NPS
435,s7,-1,NPS
438,s2,-1,NPS
443,s2,0,NPS
447,s3,-1,NPS
448,s2,-1,NPS
449,s5,-1,NPS
452,s8,-1,NPS
455,s2,-1,NPS
458,s3,-1,NPS
459,s3,-1,NPS
459,s7,-1,NPS
459,s8,-1,NPS
462,s8,0,NPS
468,s3,-1,NPS
469,s3,-1,NPS
473,s3,-1,NPS
475,s2,0,NPS
477,s2,-1,NPS
478,s7,-1,NPS
484,s2,-1,NPS
488,s2,-1,NPS
488,s7,-1,NPS
493,s8,0,NPS
496,s2,-1,NPS
503,s5,0,NPS
506,s3,1,NPS
511,s5,0,NPS
514,s2,-1,NPS
514,s5,1,NPS
525,s2,-1,NPS
527,s2,0,NPS
531,s5,-1,NPS
531,s8,-1,NPS
533,s2,-1,NPS
537,s2,-1,NPS
539,s8,-1,NPS
543,s3,-1,NPS
543,s5,-1,NPS
543,s8,-1,NPS
546,s2,0,NPS
550,s3,0,NPS
555,s2,-1,NPS
558,s3,-1,NPS
563,s7,-1,NPS
564,s3,-1,NPS
566,s5,-1,NPS
567,s2,-1,NPS
569,s3,-1,NPS
569,s7,-1,NPS
569,s7,-1,NPS
572,s5,-1,NPS
580,s2,-1,NPS
581,s3,0,NPS
581,s5,1,NPS
581,s7,-1,NPS
585,s7,-1,NPS
591,s7,0,NPS
593,s7,-1,NPS
593,s7,-1,NPS
595,s8,-1,NPS
599,s7,1,NPS
599,s5,-1,NPS
604,s5,-1,NPS
604,s7,-1,NPS
614,s2,-1,NPS
618,s3,-1,NPS
621,s5,-1,NPS
625,s7,0,NPS
628,s5,-1,NPS
628,s7,-1,NPS
631,s2,-1,NPS
633,s2,-1,NPS
638,s3,-1,NPS
638,s5,0,NPS
638,s7,1,NPS
640,s3,-1,NPS
641,s5,-1,NPS
641,s8,-1,NPS
642,s3,-1,NPS
661,s2,-1,NPS
662,s3,-1,NPS
666,s2,0,NPS
667,s5,-1,NPS
670,s2,-1,NPS
671,s2,0,NPS
680,s7,-1,NPS
681,s7,-1,NPS
688,s7,-1,NPS
690,s7,-1,NPS
690,s7,-1,NPS
695,s5,-1,NPS
695,s7,-1,NPS
695,s5,-1,NPS
695,s7,-1,NPS
695,s7,1,NPS
696,s8,-1,NPS
696,s5,-1,NPS
699,s2,1,NPS
701,s8,-1,NPS
704,s5,-1,NPS
704,s8,-1,NPS
711,s3,-1,NPS
711,s5,-1,NPS
711,s7,-1,NPS
711,s3,-1,NPS
713,s5,-1,NPS
715,s2,-1,NPS
719,s2,-1,NPS
720,s2,-1,NPS
722,s7,-1,NPS
727,s2,-1,NPS
728,s2,-1,NPS
729,s7,-1,NPS
731,s2,0,NPS
732,s2,-1,NPS
732,s5,-1,NPS
736,s5,-1,NPS
739,s2,-1,NPS
740,s5,1,NPS
740,s7,-1,NPS
740,s7,0,NPS
740,s7,-1,NPS
741,s2,-1,NPS
742,s5,-1,NPS
744,s5,0,NPS
745,s2,0,NPS
748,s8,0,NPS
748,s3,-1,NPS
748,s8,-1,NPS
750,s3,-1,NPS
755,s2,-1,NPS
755,s5,1,NPS
755,s8,-1,NPS
763,s7,-1,NPS
772,s3,-1,NPS
779,s8,-1,NPS
787,s3,0,NPS
787,s8,-1,NPS
788,s2,-1,NPS
795,s7,-1,NPS
795,s7,-1,NPS
797,s2,-1,NPS
799,s2,1,NPS
799,s5,-1,NPS
799,s7,-1,NPS
799,s8,-1,NPS
804,s7,-1,NPS
804,s8,-1,NPS
808,s7,-1,NPS
808,s8,-1,NPS
814,s5,0,NPS
817,s2,-1,NPS
830,s5,-1,NPS
830,s7,-1,NPS
830,s8,-1,NPS
832,s2,-1,NPS
833,s2,0,NPS
846,s5,-1,NPS
846,s7,-1,NPS
846,s7,0,NPS
848,s2,-1,NPS
848,s5,-1,NPS
849,s2,-1,NPS
852,s8,0,NPS
856,s5,-1,NPS
856,s8,0,NPS
859,s3,-1,NPS
859,s5,1,NPS
862,s5,1,NPS
862,s7,-1,NPS
862,s7,-1,NPS
864,s2,-1,NPS
864,s8,-1,NPS
867,s3,-1,NPS
867,s5,-1,NPS
867,s7,-1,NPS
868,s5,-1,NPS
871,s2,0,NPS
876,s5,1,NPS
876,s5,-1,NPS
880,s2,-1,NPS
883,s3,-1,NPS
883,s7,0,NPS
884,s8,-1,NPS
887,s2,-1,NPS
894,s2,-1,NPS
895,s7,-1,NPS
896,s2,0,NPS
897,s5,-1,NPS
898,s7,-1,NPS
900,s5,-1,NPS
900,s8,-1,NPS
907,s3,-1,NPS
907,s7,-1,NPS
915,s5,0,NPS
917,s2,-1,NPS
920,s3,-1,NPS
920,s5,-1,NPS
921,s3,-1,NPS
923,s3,-1,NPS
924,s2,-1,NPS
931,s2,-1,NPS
931,s7,-1,NPS
931,s8,-1,NPS
937,s3,-1,NPS
937,s8,-1,NPS
939,s2,-1,NPS
946,s3,-1,NPS
946,s7,-1,NPS
950,s7,-1,NPS
958,s3,1,NPS
959,s2,0,NPS
960,s3,-1,NPS
