rowNumber,PersonId,Price,PriceType, State 
1,3,358,ComputerQuote,s4
2,5,169,ComputerQuote,s4
3,5,350,ComputerQuote,s4
4,8,366,ComputerQuote,s4
5,9,439,ComputerQuote,s4
6,9,297,ComputerQuote,s4
7,13,282,ComputerQuote,s4
8,14,436,ComputerQuote,s4
9,14,373,ComputerQuote,s4
10,16,579,ComputerQuote,s4
11,20,306,ComputerQuote,s4
12,24,152,ComputerQuote,s4
13,24,158,ComputerQuote,s4
14,24,424,ComputerQuote,s4
15,34,250,ComputerQuote,s4
16,46,311,ComputerQuote,s4
17,50,198,ComputerQuote,s4
18,50,532,ComputerQuote,s4
19,51,207,ComputerQuote,s4
20,52,333,ComputerQuote,s4
21,55,522,ComputerQuote,s4
22,56,552,ComputerQuote,s4
23,72,120,ComputerQuote,s4
24,73,460,ComputerQuote,s4
25,73,261,ComputerQuote,s4
26,76,227,ComputerQuote,s4
27,77,506,ComputerQuote,s4
28,77,362,ComputerQuote,s4
29,77,137,ComputerQuote,s4
30,78,320,ComputerQuote,s4
31,82,153,ComputerQuote,s4
32,82,481,ComputerQuote,s4
33,82,497,ComputerQuote,s4
34,82,501,ComputerQuote,s4
35,84,398,ComputerQuote,s4
36,85,578,ComputerQuote,s4
37,85,243,ComputerQuote,s4
38,85,494,ComputerQuote,s4
39,85,256,ComputerQuote,s4
40,91,512,ComputerQuote,s4
41,95,99,ComputerQuote,s4
42,99,582,ComputerQuote,s4
43,100,413,ComputerQuote,s4
44,102,187,ComputerQuote,s4
45,103,185,ComputerQuote,s4
46,106,78,ComputerQuote,s4
47,109,125,ComputerQuote,s4
48,121,228,ComputerQuote,s4
49,121,230,ComputerQuote,s4
50,121,294,ComputerQuote,s4
51,121,438,ComputerQuote,s4
52,122,421,ComputerQuote,s4
53,123,563,ComputerQuote,s4
54,123,487,ComputerQuote,s4
55,123,383,ComputerQuote,s4
56,123,105,ComputerQuote,s4
57,125,507,ComputerQuote,s4
58,129,501,ComputerQuote,s4
59,133,479,ComputerQuote,s4
60,133,393,ComputerQuote,s4
61,134,102,ComputerQuote,s4
62,135,171,ComputerQuote,s4
63,136,536,ComputerQuote,s4
64,138,530,ComputerQuote,s4
65,138,298,ComputerQuote,s4
66,139,458,ComputerQuote,s4
67,140,469,ComputerQuote,s4
68,140,577,ComputerQuote,s4
