rowNumber,PersonId,Price,Objects, State 
1,3,358,2,s5
2,5,350,4,s5
3,5,-350,4,s5
4,5,-350,0,s5
5,9,297,4,s5
6,9,-297,4,s5
7,13,282,2,s5
8,13,-282,2,s5
9,13,282,0,s5
10,13,-282,0,s5
11,13,-282,0,s5
12,14,373,4,s5
13,20,306,2,s5
14,20,-306,2,s5
15,20,-306,0,s5
16,20,306,0,s5
17,20,-306,0,s5
18,20,-306,0,s5
19,21,306,0,s5
20,21,306,0,s5
21,21,-306,0,s5
22,24,424,6,s5
23,33,424,0,s5
24,36,250,0,s5
25,38,250,0,s5
26,42,250,0,s5
27,44,250,0,s5
28,44,-250,0,s5
29,44,-250,0,s5
30,46,311,2,s5
31,46,-311,2,s5
32,46,311,0,s5
33,46,-311,0,s5
34,54,333,0,s5
35,56,552,2,s5
36,58,552,0,s5
37,61,552,0,s5
38,61,552,0,s5
39,61,552,0,s5
40,61,-552,0,s5
41,63,552,0,s5
42,67,552,0,s5
43,68,552,0,s5
44,68,-552,0,s5
45,70,552,0,s5
46,70,-552,0,s5
47,72,120,2,s5
48,72,-120,2,s5
49,73,261,4,s5
50,73,-261,4,s5
51,76,227,2,s5
52,76,-227,2,s5
53,77,137,6,s5
54,81,320,0,s5
55,84,398,2,s5
56,84,-398,2,s5
57,85,256,8,s5
58,85,-256,8,s5
59,85,-256,0,s5
60,95,99,2,s5
61,95,-99,2,s5
62,95,-99,0,s5
63,96,99,0,s5
64,100,413,2,s5
65,100,-413,2,s5
66,100,413,0,s5
67,100,-413,0,s5
68,100,413,0,s5
69,100,-413,0,s5
70,102,187,2,s5
71,102,-187,2,s5
72,103,185,2,s5
73,106,78,2,s5
74,106,-78,2,s5
75,106,-78,0,s5
76,107,78,0,s5
77,114,125,0,s5
78,114,-125,0,s5
79,114,-125,0,s5
80,119,125,0,s5
81,121,438,8,s5
82,121,-438,8,s5
83,122,421,2,s5
84,123,105,8,s5
85,123,-105,8,s5
86,129,501,2,s5
87,129,-501,2,s5
88,131,501,0,s5
89,131,-501,0,s5
90,131,-501,0,s5
91,134,102,2,s5
92,134,102,2,s5
93,134,-102,2,s5
94,135,171,3,s5
95,135,-171,3,s5
96,135,171,0,s5
97,138,298,4,s5
98,139,458,2,s5
99,139,458,2,s5
100,139,-458,2,s5
101,140,253,7,s5
102,140,-253,7,s5
103,145,117,0,s5
104,147,117,0,s5
105,147,-117,0,s5
106,147,-117,0,s5
107,151,307,2,s5
108,151,-307,2,s5
109,151,307,0,s5
110,151,-307,0,s5
111,151,-307,0,s5
112,152,307,0,s5
113,155,307,0,s5
114,155,307,0,s5
115,155,-307,0,s5
116,158,482,0,s5
117,160,505,2,s5
118,160,-505,2,s5
119,160,-505,0,s5
120,164,308,0,s5
121,164,-308,0,s5
122,165,430,4,s5
123,165,-430,4,s5
124,165,-430,0,s5
125,174,410,8,s5
126,174,-410,8,s5
127,175,129,2,s5
128,175,-129,2,s5
129,177,355,4,s5
130,177,-355,4,s5
131,177,-355,0,s5
132,178,545,4,s5
133,178,-545,4,s5
134,185,263,2,s5
135,185,-263,2,s5
136,187,263,0,s5
137,194,265,4,s5
138,194,-265,4,s5
139,195,265,0,s5
140,195,-265,0,s5
141,195,265,0,s5
142,195,265,0,s5
143,195,-265,0,s5
144,199,484,2,s5
145,199,-484,2,s5
146,204,153,2,s5
147,204,-153,2,s5
148,204,-153,0,s5
149,204,153,0,s5
150,204,-153,0,s5
151,205,153,0,s5
152,205,-153,0,s5
153,205,153,0,s5
154,205,-153,0,s5
155,205,-153,0,s5
156,205,-153,0,s5
157,209,126,4,s5
158,209,-126,4,s5
159,209,-126,0,s5
160,212,505,4,s5
161,212,-505,4,s5
162,218,105,2,s5
163,218,-105,2,s5
164,222,139,4,s5
165,222,139,4,s5
166,224,139,0,s5
167,224,-139,0,s5
168,226,80,4,s5
169,226,-80,4,s5
170,226,80,0,s5
171,226,-80,0,s5
172,226,80,0,s5
173,226,-80,0,s5
174,226,-80,0,s5
175,227,80,0,s5
176,228,80,0,s5
177,228,-80,0,s5
178,228,80,0,s5
179,228,-80,0,s5
180,229,80,0,s5
181,229,80,0,s5
182,229,-80,0,s5
183,233,80,0,s5
184,238,579,6,s5
185,238,-579,6,s5
186,238,-579,0,s5
187,243,579,0,s5
188,243,-579,0,s5
189,247,579,0,s5
190,252,328,0,s5
191,253,585,4,s5
192,253,-585,4,s5
193,257,288,4,s5
194,257,288,4,s5
195,257,-288,4,s5
196,261,403,2,s5
197,261,-403,2,s5
198,265,152,0,s5
199,265,152,0,s5
200,265,-152,0,s5
201,270,456,2,s5
202,270,-456,2,s5
203,270,456,0,s5
204,270,-456,0,s5
205,270,456,0,s5
206,270,-456,0,s5
207,270,-456,0,s5
208,272,456,0,s5
209,272,-456,0,s5
210,274,456,0,s5
211,278,124,2,s5
212,278,-124,2,s5
213,281,124,0,s5
214,281,-124,0,s5
215,281,124,0,s5
216,281,-124,0,s5
217,283,124,0,s5
218,283,-124,0,s5
219,283,124,0,s5
220,283,-124,0,s5
221,283,-124,0,s5
222,289,103,2,s5
223,289,-103,2,s5
224,292,537,4,s5
225,293,458,2,s5
226,293,-458,2,s5
227,293,458,0,s5
228,293,458,0,s5
229,293,-458,0,s5
230,293,-458,0,s5
231,294,458,1,s5
232,296,450,6,s5
233,301,143,2,s5
234,301,-143,2,s5
235,306,308,10,s5
236,308,94,6,s5
237,308,94,6,s5
238,308,-94,6,s5
239,309,94,1,s5
240,310,454,2,s5
241,310,-454,2,s5
242,311,231,2,s5
243,311,-231,2,s5
244,315,143,0,s5
245,315,-143,0,s5
246,318,357,2,s5
247,322,168,2,s5
248,322,168,2,s5
249,322,-168,2,s5
250,323,109,3,s5
251,323,-109,3,s5
252,327,598,2,s5
253,330,598,0,s5
254,330,-598,0,s5
255,330,-598,0,s5
256,332,552,6,s5
257,334,552,0,s5
258,344,552,0,s5
259,344,-552,0,s5
260,350,552,0,s5
261,350,-552,0,s5
262,350,552,0,s5
263,350,-552,0,s5
264,351,352,2,s5
265,351,-352,2,s5
266,357,258,4,s5
267,357,-258,4,s5
268,357,258,0,s5
269,357,-258,0,s5
270,357,-258,0,s5
271,361,258,0,s5
272,361,-258,0,s5
273,363,258,0,s5
274,367,402,2,s5
275,369,254,2,s5
276,369,-254,2,s5
277,369,-254,0,s5
278,371,255,4,s5
279,371,-255,4,s5
280,371,255,0,s5
281,373,255,0,s5
282,373,-255,0,s5
283,373,-255,0,s5
284,374,118,2,s5
285,374,-118,2,s5
286,375,118,0,s5
287,376,118,0,s5
288,376,-118,0,s5
289,376,-118,0,s5
290,377,118,0,s5
291,377,-118,0,s5
292,383,367,4,s5
293,383,367,4,s5
294,383,-367,4,s5
295,385,347,4,s5
296,385,-347,4,s5
297,385,-347,0,s5
298,386,462,6,s5
299,386,-462,6,s5
300,386,-462,0,s5
301,387,462,0,s5
302,391,462,0,s5
303,391,462,0,s5
304,391,462,0,s5
305,391,-462,0,s5
306,396,489,2,s5
307,396,489,2,s5
308,396,489,2,s5
309,396,-489,2,s5
310,396,-489,0,s5
311,398,458,2,s5
312,399,257,4,s5
313,399,-257,4,s5
314,403,98,2,s5
315,406,350,0,s5
316,408,350,0,s5
317,408,350,0,s5
318,410,350,0,s5
319,410,-350,0,s5
320,410,-350,0,s5
321,412,350,0,s5
322,413,534,2,s5
323,413,-534,2,s5
324,415,86,2,s5
325,419,86,0,s5
326,424,160,2,s5
327,427,332,2,s5
328,427,-332,2,s5
329,427,-332,0,s5
330,427,332,0,s5
331,428,332,0,s5
332,428,-332,0,s5
333,428,332,0,s5
334,428,332,0,s5
335,429,430,5,s5
336,429,-430,5,s5
337,429,-430,0,s5
338,431,146,6,s5
339,431,-146,6,s5
340,435,288,4,s5
341,435,288,4,s5
342,435,-288,4,s5
343,435,288,0,s5
344,435,-288,0,s5
345,435,-288,0,s5
346,435,288,0,s5
347,435,-288,0,s5
348,435,-288,0,s5
349,436,108,3,s5
350,436,-108,3,s5
351,449,353,0,s5
352,449,-353,0,s5
353,451,353,0,s5
354,452,423,4,s5
355,452,-423,4,s5
356,455,161,0,s5
357,458,357,6,s5
358,459,101,2,s5
359,459,-101,2,s5
360,459,-101,0,s5
361,462,499,4,s5
362,462,-499,4,s5
363,463,600,2,s5
364,463,-600,2,s5
365,468,464,2,s5
366,468,-464,2,s5
367,469,98,2,s5
368,473,541,2,s5
369,476,564,2,s5
370,478,538,2,s5
371,478,-538,2,s5
372,478,-538,0,s5
373,488,538,0,s5
374,488,-538,0,s5
375,488,-538,0,s5
376,492,388,2,s5
377,493,108,2,s5
378,493,-108,2,s5
379,495,552,8,s5
380,495,-552,8,s5
381,496,552,0,s5
382,496,-552,0,s5
383,500,552,0,s5
384,502,333,2,s5
385,503,333,0,s5
386,511,440,0,s5
387,511,440,0,s5
388,514,338,0,s5
389,517,338,0,s5
390,518,338,0,s5
391,523,356,2,s5
392,529,411,0,s5
393,530,433,2,s5
394,530,-433,2,s5
395,531,299,4,s5
396,531,-299,4,s5
397,538,391,2,s5
398,539,194,2,s5
399,539,-194,2,s5
400,543,418,4,s5
401,543,418,4,s5
402,543,-418,4,s5
403,547,418,0,s5
404,558,453,2,s5
405,558,-453,2,s5
406,563,426,4,s5
407,563,-426,4,s5
408,563,-426,0,s5
409,564,426,0,s5
410,566,568,2,s5
411,569,568,2,s5
412,569,-568,2,s5
413,569,-568,0,s5
414,569,-568,0,s5
415,572,568,0,s5
416,581,568,0,s5
417,581,-568,0,s5
418,581,-568,0,s5
419,585,559,2,s5
420,585,-559,2,s5
421,585,-559,0,s5
422,587,559,0,s5
423,591,109,0,s5
424,591,-109,0,s5
425,593,267,2,s5
426,593,-267,2,s5
427,593,-267,0,s5
428,593,267,0,s5
429,595,267,0,s5
430,595,-267,0,s5
431,599,411,2,s5
432,599,-411,2,s5
433,599,411,0,s5
434,599,-411,0,s5
435,604,411,0,s5
436,604,411,0,s5
437,604,-411,0,s5
438,604,-411,0,s5
439,609,411,0,s5
440,611,244,0,s5
441,611,-244,0,s5
442,612,519,2,s5
443,612,519,2,s5
444,612,519,2,s5
445,614,242,2,s5
446,616,512,0,s5
447,616,-512,0,s5
448,621,558,4,s5
449,621,-558,4,s5
450,624,106,2,s5
451,625,85,4,s5
452,625,85,4,s5
453,625,-85,4,s5
454,625,-85,0,s5
455,628,372,2,s5
456,628,-372,2,s5
457,628,-372,0,s5
458,629,372,0,s5
459,638,524,8,s5
460,638,-524,8,s5
461,638,524,0,s5
462,638,524,0,s5
463,641,233,6,s5
464,641,-233,6,s5
465,642,539,2,s5
466,642,-539,2,s5
467,653,595,2,s5
468,662,595,0,s5
469,663,595,0,s5
470,666,336,2,s5
471,666,-336,2,s5
472,667,336,0,s5
473,674,524,4,s5
474,674,-524,4,s5
475,680,384,6,s5
476,680,-384,6,s5
477,680,-384,0,s5
478,681,384,0,s5
479,681,-384,0,s5
480,681,-384,0,s5
481,688,366,8,s5
482,688,-366,8,s5
483,688,366,0,s5
484,688,366,0,s5
485,688,-366,0,s5
486,689,197,7,s5
487,690,542,4,s5
488,690,-542,4,s5
489,690,-542,0,s5
490,690,-542,0,s5
491,691,542,0,s5
492,692,542,0,s5
493,695,542,0,s5
494,695,-542,0,s5
495,695,542,0,s5
496,695,-542,0,s5
497,695,-542,0,s5
498,695,-542,0,s5
499,696,283,2,s5
500,696,-283,2,s5
501,696,283,0,s5
502,696,-283,0,s5
503,696,283,0,s5
504,696,-283,0,s5
505,701,169,2,s5
506,701,-169,2,s5
507,704,169,0,s5
508,704,169,0,s5
509,704,-169,0,s5
510,711,537,4,s5
511,711,-537,4,s5
512,711,-537,0,s5
513,711,537,0,s5
514,711,-537,0,s5
515,712,537,0,s5
516,713,537,0,s5
517,715,125,8,s5
518,718,458,2,s5
519,721,338,4,s5
520,721,-338,4,s5
521,722,338,0,s5
522,722,338,0,s5
523,722,-338,0,s5
524,722,-338,0,s5
525,723,407,3,s5
526,723,-407,3,s5
527,729,215,2,s5
528,729,-215,2,s5
529,730,215,0,s5
530,730,215,0,s5
531,730,-215,0,s5
532,732,215,0,s5
533,732,215,0,s5
534,732,215,0,s5
535,732,-215,0,s5
536,736,215,0,s5
537,738,215,0,s5
538,740,508,0,s5
539,740,-508,0,s5
540,740,-508,0,s5
541,740,-508,0,s5
542,740,508,0,s5
543,740,-508,0,s5
544,741,508,0,s5
545,742,508,0,s5
546,744,508,0,s5
547,744,508,0,s5
548,744,-508,0,s5
549,748,106,6,s5
550,748,-106,6,s5
551,748,106,0,s5
552,748,-106,0,s5
553,755,321,0,s5
554,755,-321,0,s5
555,757,213,2,s5
556,759,493,2,s5
557,762,475,0,s5
558,762,-475,0,s5
559,763,519,6,s5
560,763,-519,6,s5
561,763,-519,0,s5
562,765,251,6,s5
563,766,444,6,s5
564,772,130,2,s5
565,779,590,0,s5
566,779,-590,0,s5
567,779,590,0,s5
568,779,-590,0,s5
569,781,248,4,s5
570,786,248,0,s5
571,787,207,2,s5
572,787,-207,2,s5
573,793,296,4,s5
574,793,-296,4,s5
575,795,296,0,s5
576,795,-296,0,s5
577,795,296,0,s5
578,795,-296,0,s5
579,795,-296,0,s5
580,796,305,2,s5
581,799,305,0,s5
582,799,-305,0,s5
583,799,-305,0,s5
584,800,75,4,s5
585,800,-75,4,s5
586,802,511,2,s5
587,802,-511,2,s5
588,804,264,6,s5
589,804,-264,6,s5
590,804,-264,0,s5
591,808,89,2,s5
592,808,89,2,s5
593,808,89,2,s5
594,808,-89,2,s5
595,808,89,0,s5
596,808,-89,0,s5
597,810,413,4,s5
598,812,413,0,s5
599,814,275,0,s5
600,815,275,0,s5
601,815,-275,0,s5
602,818,387,4,s5
603,818,-387,4,s5
604,830,477,4,s5
605,830,-477,4,s5
606,830,-477,0,s5
607,831,477,0,s5
608,833,477,0,s5
609,833,-477,0,s5
610,833,477,0,s5
611,833,-477,0,s5
612,841,117,0,s5
613,846,558,2,s5
614,846,-558,2,s5
615,846,-558,0,s5
616,846,-558,0,s5
617,848,274,2,s5
618,852,140,0,s5
619,852,-140,0,s5
620,854,307,2,s5
621,854,-307,2,s5
622,856,307,0,s5
623,856,-307,0,s5
624,857,518,8,s5
625,859,371,2,s5
626,859,371,2,s5
627,860,463,3,s5
628,862,503,2,s5
629,862,-503,2,s5
630,862,503,0,s5
631,862,-503,0,s5
632,862,503,0,s5
633,862,503,0,s5
634,862,-503,0,s5
635,862,-503,0,s5
636,864,263,2,s5
637,864,-263,2,s5
638,867,577,4,s5
639,867,-577,4,s5
640,867,-577,0,s5
641,868,577,0,s5
642,871,114,0,s5
643,871,-114,0,s5
644,876,360,2,s5
645,876,360,2,s5
646,878,432,2,s5
647,880,432,0,s5
648,883,78,4,s5
649,883,-78,4,s5
650,883,78,0,s5
651,883,78,0,s5
652,884,417,5,s5
653,884,-417,5,s5
654,888,490,2,s5
655,888,490,2,s5
656,894,490,0,s5
657,894,-490,0,s5
658,894,490,0,s5
659,894,-490,0,s5
660,895,103,2,s5
661,895,-103,2,s5
662,895,-103,0,s5
663,897,103,0,s5
