rowNumber,PersonId,State,score,scoreName,channel 
1,4,s7,10,CES,0
2,4,s7,10,NPS,1
3,4,s9,10,CES,0
4,4,s9,10,NPS,1
5,5,s4,10,CES,3
6,5,s4,10,NPS,0
7,5,s6,10,NPS,3
8,5,s6,10,CES,1
9,6,s2,7,CES,2
10,6,s4,8,CES,1
11,6,s4,10,NPS,3
12,6,s7,10,CES,0
13,6,s7,8,NPS,2
14,7,s2,7,CES,1
15,7,s4,10,CES,1
16,7,s4,10,NPS,1
17,8,s5,10,NPS,1
18,8,s5,10,CES,1
19,13,s9,10,CES,3
20,13,s9,10,NPS,0
21,13,s7,10,CES,1
22,13,s7,10,NPS,3
23,13,s9,10,CES,1
24,13,s9,10,NPS,1
25,13,s4,10,CES,3
26,13,s4,10,NPS,0
27,13,s6,10,NPS,3
28,13,s6,10,CES,2
29,13,s7,10,CES,0
30,13,s7,10,NPS,1
31,13,s9,10,CES,2
32,13,s9,10,NPS,0
33,14,s5,9,NPS,1
34,14,s5,10,CES,3
35,14,s5,9,NPS,2
36,14,s5,10,CES,3
37,14,s4,10,CES,3
38,14,s4,10,NPS,0
39,14,s5,10,NPS,1
40,14,s5,9,CES,3
41,14,s6,10,NPS,0
42,14,s6,10,CES,3
43,14,s6,10,NPS,3
44,14,s6,10,CES,2
45,14,s7,10,CES,3
46,14,s7,10,NPS,0
47,17,s4,10,CES,1
48,17,s4,6,NPS,2
49,21,s5,8,NPS,1
50,21,s5,10,CES,2
51,21,s7,7,CES,3
52,21,s7,10,NPS,1
53,21,s7,10,CES,2
54,21,s7,10,NPS,1
55,27,s2,8,CES,0
56,28,s4,10,CES,2
57,28,s4,10,NPS,3
58,30,s5,8,NPS,2
59,30,s5,10,CES,3
60,30,s5,10,NPS,3
61,30,s5,7,CES,3
62,32,s9,8,CES,0
63,32,s9,8,NPS,1
64,35,s5,10,NPS,2
65,35,s5,10,CES,1
66,35,s7,10,CES,1
67,35,s7,10,NPS,3
68,35,s6,10,NPS,2
69,35,s6,10,CES,1
70,36,s2,6,CES,3
71,36,s6,8,NPS,0
72,36,s6,10,CES,3
