rowNumber,PersonId,State,Practice,PracticeName,LifeCycle,Loyal,Issue,Score,ScoreName,NPS-score,Channel,QuotePrice,QuoteType,RevPrice,RevObjects 
1,0,s1,,,Awareness,,,,,,,,,,
2,0,s2,0,Siebel,Awareness,,,5,CES,,,,,,
3,0,s3,0,Siebel,Awareness,,,,,,,,,,
4,0,s5,0,Siebel,Evaluation,,,,,,,,,,
5,0,s4,0,Siebel,Evaluation,,,10,CES,,,,,,
6,0,s4,0,Siebel,Evaluation,,,7,NPS,0,,,,,
7,0,s4,0,Siebel,Evaluation,,,,,,,26295,Consultant,,
8,0,s6,0,Siebel,Purchase,,,,,,,,,,
9,0,s6,0,Siebel,Purchase,,,,,,,,,26295,1
10,0,s7,0,Siebel,Use,,,,,,,,,,
11,0,s2,5,Siebel,Awareness,Loyal,,,,,,,,,
12,0,s3,5,Siebel,Awareness,Loyal,,,,,,,,,
13,0,s5,5,Siebel,Evaluation,Loyal,,9,CES,,,,,,
14,0,s5,5,Siebel,Evaluation,Loyal,,10,NPS,1,,,,,
15,0,s4,5,Siebel,Evaluation,Loyal,,,,,,,,,
16,0,s4,5,Siebel,Evaluation,Loyal,,,,,,72043,Consultant,,
17,0,s6,5,Siebel,Purchase,Loyal,,,,,,,,,
18,0,s6,5,Siebel,Purchase,Loyal,,,,,,,,72043,1
19,0,s7,5,Siebel,Use,Loyal,,,,,,,,,
20,0,s9,5,Siebel,Use,Loyal,,10,CES,,,,,,
21,0,s9,5,Siebel,Use,Loyal,,10,NPS,1,,,,,
22,0,s4,5,Siebel,Evaluation,Loyal,,10,CES,,,,,,
23,0,s4,5,Siebel,Evaluation,Loyal,,10,NPS,1,,,,,
24,0,s4,5,Siebel,Evaluation,Loyal,,,,,,99892,Consultant,,
25,0,s6,5,Siebel,Purchase,Loyal,,,,,,,,,
26,0,s6,5,Siebel,Purchase,Loyal,,,,,,,,99892,1
27,0,s7,5,Siebel,Use,Loyal,,10,CES,,,,,,
28,0,s7,5,Siebel,Use,Loyal,,9,NPS,1,,,,,
29,0,s8,5,Siebel,Use,Loyal,Not Solved,6,CES,,,,,,
30,0,s8,5,Siebel,Use,Loyal,Not Solved,6,NPS,-1,,,,,
31,0,s9,5,Siebel,Use,Loyal,Not Solved,,,,,,,,
32,0,s10,5,Siebel,End,Loyal,Not Solved,,,,,,,,
33,1,s1,,,Awareness,,,,,,,,,,
34,1,s2,4,BI,Awareness,,,,,,,,,,
35,1,s3,4,BI,Awareness,,,,,,,,,,
36,1,s5,4,BI,Evaluation,,,,,,,,,,
37,1,s4,4,BI,Evaluation,,,,,,,,,,
38,1,s4,4,BI,Evaluation,,,,,,,24389,Consultant,,
39,1,s5,4,BI,Evaluation,,,,,,,,,,
40,1,s4,4,BI,Evaluation,,,,,,,,,,
41,1,s4,4,BI,Evaluation,,,,,,,15425,Consultant,,
42,1,s5,4,BI,Evaluation,,,7,CES,,,,,,
43,1,s5,4,BI,Evaluation,,,7,NPS,0,,,,,
44,1,s4,4,BI,Evaluation,,,,,,,,,,
45,1,s4,4,BI,Evaluation,,,,,,,32977,Consultant,,
46,1,s5,4,BI,Evaluation,,,,,,,,,,
47,1,s4,4,BI,Evaluation,,,,,,,,,,
48,1,s4,4,BI,Evaluation,,,,,,,21455,Consultant,,
49,1,s4,4,BI,Evaluation,,,,,,,,,,
50,1,s4,4,BI,Evaluation,,,,,,,21500,Consultant,,
51,1,s10,4,BI,End,,,,,,,,,,
52,2,s1,,,Awareness,,,,,,,,,,
53,2,s2,5,Siebel,Awareness,,,,,,,,,,
54,2,s3,5,Siebel,Awareness,,,,,,,,,,
55,2,s5,5,Siebel,Evaluation,,,10,CES,,,,,,
56,2,s5,5,Siebel,Evaluation,,,6,NPS,-1,,,,,
57,2,s4,5,Siebel,Evaluation,,,,,,,,,,
58,2,s4,5,Siebel,Evaluation,,,,,,,29129,Consultant,,
59,2,s6,5,Siebel,Purchase,,,,,,,,,,
60,2,s6,5,Siebel,Purchase,,,,,,,,,29129,1
61,2,s7,5,Siebel,Use,,,,,,,,,,
62,2,s9,5,Siebel,Use,,,,,,,,,,
63,2,s10,5,Siebel,End,,,,,,,,,,
64,3,s1,,,Awareness,,,,,,,,,,
65,3,s2,2,Service Cloud,Awareness,,,,,,,,,,
66,3,s10,2,Service Cloud,End,,,,,,,,,,
67,4,s1,,,Awareness,,,,,,,,,,
68,4,s2,1,Sales Cloud,Awareness,,,,,,,,,,
69,4,s3,1,Sales Cloud,Awareness,,,,,,,,,,
70,4,s5,1,Sales Cloud,Evaluation,,,,,,,,,,
71,4,s4,1,Sales Cloud,Evaluation,,,,,,,,,,
72,4,s4,1,Sales Cloud,Evaluation,,,,,,,11032,Consultant,,
73,4,s4,1,Sales Cloud,Evaluation,,,,,,,,,,
74,4,s4,1,Sales Cloud,Evaluation,,,,,,,14255,Consultant,,
75,4,s10,1,Sales Cloud,End,,,,,,,,,,
76,5,s1,,,Awareness,,,,,,,,,,
77,5,s10,,,End,,,,,,,,,,
78,6,s1,,,Awareness,,,,,,,,,,
79,6,s2,3,Marketing Cloud,Awareness,,,,,,,,,,
80,6,s3,3,Marketing Cloud,Awareness,,,,,,,,,,
81,6,s5,3,Marketing Cloud,Evaluation,,,,,,,,,,
82,6,s4,3,Marketing Cloud,Evaluation,,,,,,,,,,
83,6,s4,3,Marketing Cloud,Evaluation,,,,,,,13627,Consultant,,
84,6,s10,3,Marketing Cloud,End,,,,,,,,,,
85,7,s1,,,Awareness,,,,,,,,,,
86,7,s2,1,Sales Cloud,Awareness,,,,,,,,,,
87,7,s3,1,Sales Cloud,Awareness,,,,,,,,,,
88,7,s10,1,Sales Cloud,End,,,,,,,,,,
89,8,s1,,,Awareness,,,,,,,,,,
90,8,s2,5,Siebel,Awareness,,,,,,,,,,
91,8,s10,5,Siebel,End,,,,,,,,,,
92,9,s1,,,Awareness,,,,,,,,,,
93,9,s2,4,BI,Awareness,,,,,,,,,,
94,9,s3,4,BI,Awareness,,,,,,,,,,
95,9,s10,4,BI,End,,,,,,,,,,
96,10,s1,,,Awareness,,,,,,,,,,
97,10,s2,0,Siebel,Awareness,,,,,,,,,,
98,10,s3,0,Siebel,Awareness,,,,,,,,,,
99,10,s5,0,Siebel,Evaluation,,,,,,,,,,
100,10,s4,0,Siebel,Evaluation,,,,,,,,,,
101,10,s4,0,Siebel,Evaluation,,,,,,,12089,Consultant,,
102,10,s10,0,Siebel,End,,,,,,,,,,
103,11,s1,,,Awareness,,,,,,,,,,
104,11,s2,0,Siebel,Awareness,,,,,,,,,,
105,11,s3,0,Siebel,Awareness,,,,,,,,,,
106,11,s5,0,Siebel,Evaluation,,,,,,,,,,
107,11,s4,0,Siebel,Evaluation,,,,,,,,,,
108,11,s4,0,Siebel,Evaluation,,,,,,,75843,Consultant,,
109,11,s5,0,Siebel,Evaluation,,,,,,,,,,
110,11,s4,0,Siebel,Evaluation,,,,,,,,,,
111,11,s4,0,Siebel,Evaluation,,,,,,,73212,Consultant,,
112,11,s6,0,Siebel,Purchase,,,,,,,,,,
113,11,s6,0,Siebel,Purchase,,,,,,,,,73212,1
114,11,s7,0,Siebel,Use,,,,,,,,,,
115,11,s8,0,Siebel,Use,,Not Solved,10,CES,,,,,,
116,11,s8,0,Siebel,Use,,Not Solved,6,NPS,-1,,,,,
117,11,s9,0,Siebel,Use,,Not Solved,,,,,,,,
118,11,s10,0,Siebel,End,,Not Solved,,,,,,,,
119,12,s1,,,Awareness,,,,,,,,,,
120,12,s2,5,Siebel,Awareness,,,8,CES,,,,,,
121,12,s10,5,Siebel,End,,,,,,,,,,
122,13,s1,,,Awareness,,,,,,,,,,
123,13,s2,4,BI,Awareness,,,5,CES,,,,,,
124,13,s3,4,BI,Awareness,,,,,,,,,,
125,13,s5,4,BI,Evaluation,,,,,,,,,,
126,13,s4,4,BI,Evaluation,,,6,CES,,,,,,
127,13,s4,4,BI,Evaluation,,,6,NPS,-1,,,,,
128,13,s4,4,BI,Evaluation,,,,,,,26706,Consultant,,
129,13,s10,4,BI,End,,,,,,,,,,
130,14,s1,,,Awareness,,,,,,,,,,
131,14,s2,4,BI,Awareness,,,,,,,,,,
132,14,s3,4,BI,Awareness,,,,,,,,,,
