rowNumber,PersonId,Loyal 
1,4,Loyal
2,5,Loyal
3,13,Loyal
4,13,Loyal
5,14,Loyal
6,21,Loyal
7,35,Loyal
8,35,Loyal
9,36,Loyal
10,50,Loyal
11,50,Loyal
12,64,Loyal
13,82,Loyal
14,86,Loyal
15,86,Loyal
16,104,Loyal
17,104,Loyal
18,104,Loyal
19,115,Loyal
20,116,Loyal
21,116,Loyal
22,116,Loyal
23,116,Loyal
24,123,Loyal
25,131,Loyal
26,145,Loyal
27,165,Loyal
28,167,Loyal
29,167,Loyal
30,167,Loyal
31,184,Loyal
32,198,Loyal
33,201,Loyal
34,209,Loyal
35,209,Loyal
36,209,Loyal
37,212,Loyal
38,241,Loyal
39,247,Loyal
40,247,Loyal
41,250,Loyal
42,250,Loyal
43,250,Loyal
44,250,Loyal
45,250,Loyal
46,254,Loyal
47,254,Loyal
48,254,Loyal
49,261,Loyal
50,265,Loyal
51,265,Loyal
52,265,Loyal
53,265,Loyal
54,265,Loyal
55,267,Loyal
56,269,Loyal
57,273,Loyal
58,273,Loyal
59,287,Loyal
60,293,Loyal
61,333,Loyal
62,333,Loyal
63,333,Loyal
64,351,Loyal
65,360,Loyal
66,360,Loyal
67,360,Loyal
68,361,Loyal
69,361,Loyal
70,362,Loyal
71,362,Loyal
72,368,Loyal
73,368,Loyal
74,368,Loyal
75,368,Loyal
76,368,Loyal
77,370,Loyal
78,370,Loyal
79,373,Loyal
80,376,Loyal
81,376,Loyal
82,384,Loyal
83,403,Loyal
84,413,Loyal
85,422,Loyal
86,439,Loyal
87,439,Loyal
88,442,Loyal
89,446,Loyal
90,446,Loyal
91,446,Loyal
92,448,Loyal
93,452,Loyal
94,452,Loyal
95,472,Loyal
96,476,Loyal
97,476,Loyal
98,476,Loyal
99,485,Loyal
100,495,Loyal
101,495,Loyal
102,495,Loyal
103,495,Loyal
104,495,Loyal
105,495,Loyal
106,495,Loyal
107,504,Loyal
108,504,Loyal
109,508,Loyal
110,511,Loyal
111,511,Loyal
112,511,Loyal
113,520,Loyal
114,525,Loyal
115,525,Loyal
116,525,Loyal
117,541,Loyal
118,541,Loyal
119,549,Loyal
120,552,Loyal
121,552,Loyal
122,569,Loyal
123,580,Loyal
124,580,Loyal
125,582,Loyal
126,590,Loyal
127,605,Loyal
128,606,Loyal
129,611,Loyal
130,623,Loyal
131,623,Loyal
132,630,Loyal
133,630,Loyal
134,638,Loyal
135,645,Loyal
136,647,Loyal
137,650,Loyal
138,665,Loyal
139,665,Loyal
140,666,Loyal
141,666,Loyal
142,675,Loyal
143,685,Loyal
144,685,Loyal
145,687,Loyal
146,690,Loyal
147,690,Loyal
148,690,Loyal
149,696,Loyal
150,696,Loyal
151,696,Loyal
152,697,Loyal
153,697,Loyal
154,702,Loyal
155,702,Loyal
156,702,Loyal
157,715,Loyal
158,715,Loyal
159,755,Loyal
160,755,Loyal
161,755,Loyal
162,768,Loyal
163,768,Loyal
164,768,Loyal
165,771,Loyal
166,774,Loyal
167,794,Loyal
168,798,Loyal
169,800,Loyal
170,800,Loyal
171,800,Loyal
172,804,Loyal
173,807,Loyal
174,807,Loyal
175,811,Loyal
176,823,Loyal
177,836,Loyal
178,840,Loyal
179,849,Loyal
180,865,Loyal
181,865,Loyal
182,865,Loyal
183,868,Loyal
184,872,Loyal
185,880,Loyal
186,880,Loyal
187,884,Loyal
188,897,Loyal
189,897,Loyal
190,897,Loyal
191,897,Loyal
192,897,Loyal
193,897,Loyal
194,897,Loyal
195,897,Loyal
196,910,Loyal
197,920,Loyal
198,920,Loyal
199,944,Loyal
200,944,Loyal
201,944,Loyal
202,958,Loyal
203,958,Loyal
204,964,Loyal
205,964,Loyal
206,974,Loyal
