PersonId,practice 
0,5
1,3
2,0
3,5
4,3
5,4
6,5
7,5
8,0
10,3
11,3
12,1
13,5
14,4
16,0
17,2
18,4
19,2
20,1
21,0
22,4
24,5
25,0
26,0
27,2
28,5
29,2
30,0
32,0
33,3
35,5
36,0
37,5
39,4
40,2
43,1
46,5
47,2
48,1
49,2
50,4
51,4
52,3
53,1
54,5
55,1
56,0
57,2
58,2
59,1
61,3
62,1
64,3
65,0
66,0
67,3
68,1
69,4
70,1
71,5
72,3
73,0
75,2
76,1
77,2
78,5
79,1
80,2
81,0
82,2
84,1
85,1
86,5
88,1
89,2
90,3
93,0
94,2
95,2
97,3
99,4
100,5
101,3
102,2
103,3
104,0
105,2
106,4
107,0
108,1
109,0
110,5
111,4
112,5
113,3
114,3
115,2
116,5
117,3
118,2
119,2
121,5
122,3
123,4
124,4
125,3
126,4
127,1
128,1
129,1
130,1
131,3
132,2
134,5
135,4
137,5
140,1
141,2
142,0
143,2
144,2
145,3
146,0
148,5
149,0
150,5
151,3
152,4
154,2
155,4
157,1
158,2
159,1
160,3
162,4
163,1
164,3
165,5
166,5
167,4
169,3
170,3
171,2
172,2
173,4
174,1
175,1
177,1
178,0
179,5
180,1
181,3
182,3
183,1
184,2
185,0
188,3
189,2
191,1
192,0
193,0
195,5
196,5
197,4
198,4
200,3
201,0
202,3
204,4
205,5
206,3
208,4
209,5
210,0
211,4
212,5
213,0
214,3
215,1
216,1
218,3
219,2
221,1
222,2
223,2
224,1
225,3
226,0
227,0
228,1
229,1
231,0
232,5
234,1
235,1
236,1
237,5
238,0
240,5
241,2
242,2
243,1
245,4
246,5
247,0
248,3
249,0
250,4
251,1
252,1
253,1
254,3
255,0
256,1
257,2
258,4
259,0
260,0
261,0
264,5
265,0
266,0
267,5
268,5
269,3
270,2
272,1
273,2
275,2
276,1
277,1
278,2
279,0
280,0
282,5
283,5
284,4
285,0
286,5
287,5
288,5
290,0
291,5
292,2
293,0
294,2
295,3
297,4
298,3
299,1
300,4
301,3
302,5
303,1
306,0
307,1
309,1
311,3
312,5
313,5
314,4
316,1
317,5
318,0
321,4
322,5
323,2
324,1
325,4
326,5
327,2
328,0
332,2
333,3
334,3
335,5
336,4
338,0
343,1
344,1
345,4
346,2
347,4
349,2
351,3
352,2
353,3
354,0
355,0
357,3
358,4
359,3
360,1
361,2
362,3
363,2
364,0
367,4
368,4
370,5
372,0
373,0
376,1
377,0
378,3
379,4
380,2
382,2
384,1
385,4
386,0
387,3
388,2
389,0
390,2
391,4
392,4
393,1
395,3
399,5
400,4
401,3
402,3
403,3
404,1
405,3
406,4
407,3
408,5
409,5
410,0
411,0
412,3
413,0
414,4
416,5
417,1
418,1
419,5
420,3
422,1
423,3
424,4
426,5
427,0
429,5
430,1
431,0
432,2
433,5
434,2
435,1
436,3
437,0
438,0
439,3
440,2
441,0
442,5
443,5
444,1
446,4
447,0
448,5
449,2
450,3
451,0
452,4
453,0
454,5
455,3
456,5
459,2
461,1
