rowNumber,PersonId,Loyal 
1,0,Loyal
2,17,Loyal
3,38,Loyal
4,58,Loyal
5,60,Loyal
6,66,Loyal
7,67,Loyal
8,68,Loyal
9,71,Loyal
10,76,Loyal
11,82,Loyal
12,83,Loyal
13,87,Loyal
14,88,Loyal
15,91,Loyal
16,94,Loyal
17,104,Loyal
18,107,Loyal
19,127,Loyal
20,128,Loyal
21,130,Loyal
22,134,Loyal
23,153,Loyal
24,159,Loyal
25,171,Loyal
26,187,Loyal
27,195,Loyal
28,208,Loyal
29,236,Loyal
30,263,Loyal
31,270,Loyal
32,272,Loyal
33,274,Loyal
34,277,Loyal
35,289,Loyal
36,294,Loyal
37,307,Loyal
38,317,Loyal
39,331,Loyal
40,335,Loyal
41,349,Loyal
42,351,Loyal
43,357,Loyal
44,358,Loyal
45,397,Loyal
46,408,Loyal
47,414,Loyal
48,418,Loyal
49,419,Loyal
50,425,Loyal
51,431,Loyal
52,440,Loyal
53,460,Loyal
54,472,Loyal
55,494,Loyal
56,510,Loyal
57,521,Loyal
58,543,Loyal
59,547,Loyal
60,561,Loyal
61,564,Loyal
62,581,Loyal
63,590,Loyal
64,594,Loyal
65,609,Loyal
66,622,Loyal
67,630,Loyal
68,632,Loyal
69,644,Loyal
70,653,Loyal
71,654,Loyal
72,662,Loyal
73,668,Loyal
74,681,Loyal
75,683,Loyal
76,688,Loyal
77,701,Loyal
78,712,Loyal
79,720,Loyal
80,723,Loyal
81,724,Loyal
82,727,Loyal
83,751,Loyal
84,754,Loyal
85,766,Loyal
86,775,Loyal
87,792,Loyal
88,796,Loyal
89,798,Loyal
90,799,Loyal
91,804,Loyal
92,811,Loyal
93,826,Loyal
94,832,Loyal
95,837,Loyal
96,848,Loyal
97,852,Loyal
98,861,Loyal
99,884,Loyal
100,905,Loyal
101,907,Loyal
102,908,Loyal
103,938,Loyal
104,940,Loyal
105,949,Loyal
106,960,Loyal
107,964,Loyal
108,967,Loyal
109,981,Loyal
110,988,Loyal
111,993,Loyal
112,1016,Loyal
113,1018,Loyal
114,1033,Loyal
115,1043,Loyal
116,1052,Loyal
117,1065,Loyal
118,1093,Loyal
119,1113,Loyal
120,1129,Loyal
121,1132,Loyal
122,1135,Loyal
123,1151,Loyal
124,1161,Loyal
125,1191,Loyal
126,1216,Loyal
127,1218,Loyal
128,1221,Loyal
129,1244,Loyal
130,1245,Loyal
131,1287,Loyal
132,1289,Loyal
133,1293,Loyal
134,1311,Loyal
135,1312,Loyal
136,1389,Loyal
137,1392,Loyal
138,1394,Loyal
139,1409,Loyal
140,1410,Loyal
141,1415,Loyal
142,1418,Loyal
143,1422,Loyal
144,1431,Loyal
145,1459,Loyal
