rowNumber,PersonId,Price,PriceType 
1,0,178,Car
2,0,53,Car
3,2,291,Car
4,2,60,Baby-seat
5,2,707,Car
6,3,931,Car
7,6,113,Car
8,8,735,Car
9,10,681,Car
10,10,351,Car
11,10,545,Car
12,10,60,Baby-seat
13,10,525,Car
14,10,50,Navigation
15,11,521,Car
16,11,100,Extra driver
17,11,708,Car
18,11,200,Insurance
19,12,899,Car
20,13,944,Car
21,13,100,Extra driver
22,14,233,Car
23,15,552,Car
24,15,200,Insurance
25,15,745,Car
26,16,768,Car
27,17,849,Car
28,17,100,Extra driver
29,17,636,Car
30,17,100,Extra driver
31,21,276,Car
32,24,371,Car
33,25,689,Car
34,27,640,Car
35,28,402,Car
36,31,421,Car
37,31,60,Baby-seat
38,31,407,Car
39,31,275,Car
40,32,844,Car
41,32,247,Car
42,33,684,Car
43,33,60,Baby-seat
44,33,242,Car
45,33,200,Insurance
46,33,525,Car
47,33,60,Baby-seat
48,33,865,Car
49,34,691,Car
50,36,365,Car
51,36,100,Extra driver
52,37,604,Car
53,38,445,Car
54,38,60,Baby-seat
55,38,983,Car
56,38,231,Car
57,41,377,Car
58,42,968,Car
59,45,667,Car
60,45,60,Baby-seat
61,51,328,Car
62,51,363,Car
63,51,270,Car
64,51,100,Extra driver
65,52,791,Car
66,54,766,Car
67,54,200,Insurance
68,55,779,Car
69,58,424,Car
70,58,530,Car
71,58,618,Car
72,60,496,Car
73,60,393,Car
74,60,60,Baby-seat
75,60,776,Car
76,60,603,Car
77,60,998,Car
78,60,200,Insurance
79,60,439,Car
80,65,613,Car
81,65,200,Insurance
82,65,200,Insurance
83,65,331,Car
84,66,822,Car
85,66,60,Baby-seat
86,66,330,Car
87,66,50,Navigation
88,66,220,Car
89,66,50,Navigation
90,67,809,Car
91,67,868,Car
92,67,200,Insurance
93,68,729,Car
94,68,100,Extra driver
95,68,60,Baby-seat
96,68,670,Car
97,70,337,Car
98,70,100,Extra driver
99,71,591,Car
100,71,479,Car
101,75,834,Car
102,75,200,Insurance
103,76,342,Car
104,76,100,Extra driver
105,76,885,Car
106,76,200,Insurance
107,76,730,Car
108,79,695,Car
109,79,60,Baby-seat
110,79,602,Car
111,80,292,Car
112,80,851,Car
113,80,60,Baby-seat
114,82,732,Car
115,82,248,Car
116,82,455,Car
117,82,938,Car
118,82,465,Car
119,82,50,Navigation
120,82,315,Car
121,83,921,Car
122,83,100,Extra driver
123,83,499,Car
124,83,100,Extra driver
125,85,787,Car
126,85,934,Car
127,86,850,Car
128,87,180,Car
129,87,73,Car
130,87,94,Car
131,88,439,Car
132,88,917,Car
133,88,357,Car
134,88,200,Insurance
135,88,810,Car
136,91,460,Car
137,92,261,Car
138,93,225,Car
139,94,751,Car
140,94,903,Car
141,94,100,Extra driver
142,94,902,Car
143,94,200,Insurance
144,96,122,Car
145,96,184,Car
146,97,338,Car
147,97,60,Baby-seat
148,100,706,Car
149,101,429,Car
150,101,100,Extra driver
151,101,100,Extra driver
152,101,100,Extra driver
153,102,701,Car
154,103,422,Car
155,104,160,Car
156,104,64,Car
157,107,707,Car
158,107,569,Car
159,107,294,Car
160,110,920,Car
161,110,728,Car
162,112,987,Car
163,112,789,Car
164,112,50,Navigation
165,116,99,Car
166,116,50,Navigation
167,117,524,Car
168,123,314,Car
169,123,50,Navigation
170,123,200,Insurance
171,123,60,Baby-seat
172,124,233,Car
173,125,390,Car
174,125,516,Car
175,127,104,Car
176,127,50,Navigation
177,127,200,Insurance
178,128,628,Car
179,128,304,Car
180,130,959,Car
181,130,50,Navigation
182,130,805,Car
183,130,50,Navigation
184,134,75,Car
185,134,107,Car
186,134,82,Car
187,134,157,Car
188,134,65,Car
189,137,316,Car
190,139,498,Car
191,141,769,Car
192,144,725,Car
193,144,200,Insurance
194,146,151,Car
195,147,245,Car
196,149,594,Car
197,149,100,Extra driver
198,149,579,Car
199,150,215,Car
200,151,525,Car
201,153,949,Car
202,153,483,Car
203,159,625,Car
204,159,750,Car
205,159,219,Car
206,159,501,Car
207,159,285,Car
208,159,100,Extra driver
209,159,452,Car
210,159,487,Car
211,159,60,Baby-seat
212,159,950,Car
213,164,502,Car
