rowNumber,PersonId,Price,Objects 
1,0,178,1
2,0,53,1
3,3,931,1
4,8,735,1
5,10,575,2
6,11,908,2
7,12,899,1
8,14,233,1
9,16,768,1
10,17,949,2
11,17,736,2
12,25,689,1
13,25,-689,1
14,28,402,1
15,32,247,1
16,33,865,1
17,36,465,2
18,37,604,1
19,38,983,1
20,38,231,1
21,38,-231,1
22,41,377,1
23,42,968,1
24,51,370,2
25,51,-370,2
26,55,779,1
27,58,530,1
28,58,618,1
29,58,-618,1
30,60,453,2
31,60,776,1
32,60,1198,2
33,66,380,2
34,66,270,2
35,67,809,1
36,67,1068,2
37,68,889,3
38,71,591,1
39,71,479,1
40,76,1085,2
41,80,911,2
42,82,455,1
43,82,938,1
44,83,1021,2
45,83,599,2
46,86,850,1
47,86,-850,1
48,87,180,1
49,88,439,1
50,88,917,1
51,88,810,1
52,88,-810,1
53,91,460,1
54,92,261,1
55,92,-261,1
56,93,225,1
57,93,-225,1
58,94,751,1
59,94,1102,2
60,96,184,1
61,96,-184,1
62,97,398,2
63,100,706,1
64,103,422,1
65,104,160,1
66,107,707,1
67,112,839,2
68,116,149,2
69,116,-149,2
70,117,524,1
71,125,516,1
72,127,354,3
73,128,628,1
74,128,304,1
75,128,-304,1
76,130,1009,2
77,130,855,2
78,134,75,1
79,137,316,1
80,141,769,1
81,151,525,1
82,153,949,1
83,153,483,1
84,159,625,1
85,159,219,1
86,159,501,1
87,159,547,2
88,164,597,1
89,169,202,1
90,170,87,1
91,171,872,1
92,171,642,1
93,172,767,2
94,172,-767,2
95,176,157,1
96,187,182,1
97,187,144,1
98,195,975,1
99,195,604,1
100,197,408,1
101,198,657,2
102,200,853,1
103,200,-853,1
104,204,87,1
105,208,258,1
106,208,263,1
107,208,294,1
108,212,963,1
109,215,534,2
110,215,-534,2
111,219,786,1
112,220,816,1
113,235,960,1
114,236,530,1
115,236,419,1
116,238,725,1
117,251,922,2
118,255,828,1
119,258,746,2
120,261,870,1
121,263,571,2
122,265,946,1
123,265,-946,1
124,266,1141,3
125,268,538,1
126,270,432,1
127,270,988,1
128,272,1154,6
129,274,911,1
130,277,179,1
131,280,719,1
132,283,978,1
133,289,697,1
134,294,991,2
135,294,292,1
136,294,334,1
137,294,223,1
138,295,918,2
139,296,979,1
140,297,667,2
141,298,936,1
142,299,528,1
143,301,881,2
144,301,-881,2
145,307,552,1
146,307,657,1
147,310,252,1
148,315,974,2
149,315,-974,2
150,317,623,1
151,323,599,1
152,326,392,1
153,329,493,3
154,331,1026,2
155,331,505,1
156,333,268,1
157,334,291,1
158,335,607,1
159,335,854,3
160,337,199,1
161,343,135,1
162,347,1006,2
163,349,614,1
164,349,593,2
165,349,-593,2
166,351,324,1
167,351,800,2
168,351,746,1
169,353,213,2
170,355,592,3
171,357,984,1
172,358,386,1
173,368,570,1
174,374,629,1
175,379,476,1
176,381,940,1
177,383,86,1
178,387,678,2
179,389,572,1
180,391,921,2
181,395,957,2
182,396,463,2
183,397,679,2
184,400,688,1
185,401,943,1
186,404,618,1
187,408,308,1
188,408,597,3
189,409,977,2
190,413,518,1
191,414,330,1
192,414,919,1
193,414,860,1
194,415,510,1
195,415,-510,1
196,416,66,1
197,416,-66,1
198,418,169,1
199,418,106,1
200,419,965,1
201,419,783,1
202,419,872,1
203,425,1129,4
204,425,260,1
205,425,-260,1
206,427,86,1
207,430,447,1
208,431,342,1
209,431,677,1
210,431,982,1
211,431,-982,1
212,434,622,2
213,434,-622,2
214,435,857,1
215,436,336,1
216,437,145,2
217,438,221,1
218,438,-221,1
219,440,511,2
220,444,617,1
221,446,1047,2
222,449,417,1
223,451,54,1
224,456,963,1
225,460,919,2
226,463,979,1
227,465,406,1
228,472,197,2
229,472,102,1
230,472,265,3
231,472,129,1
232,474,310,1
233,474,-310,1
234,477,695,2
235,480,312,2
236,480,-312,2
237,482,572,2
238,484,240,1
239,486,1014,2
240,491,456,1
241,494,248,2
242,494,142,1
243,500,1002,2
244,503,647,3
245,510,116,1
246,510,366,3
247,512,361,1
248,517,762,1
249,517,-762,1
250,519,168,1
251,521,931,1
252,521,755,1
253,522,497,1
254,522,-497,1
255,530,971,1
256,530,-971,1
257,531,392,2
258,533,391,2
259,534,406,2
260,538,641,1
261,538,-641,1
262,543,397,1
263,543,846,1
264,543,329,1
265,543,-329,1
266,546,1096,2
267,546,-1096,2
268,547,379,1
269,547,700,1
270,549,432,1
271,561,269,1
272,564,886,1
273,564,698,1
274,566,850,2
275,579,473,1
